id,type,language
1000900,Spoken language,Hebrew (modern)
1000900,Spoken language,English
1000901,Language,English
1000902,Primary language,English
1000902,Spoken language,English
1000902,Spoken language,French
1000902,Spoken language,Latin
1000903,Primary language,English
1000903,Spoken language,English
1000903,Spoken language,German
1000904,Language,English
1000905,Primary language,English
1000905,Spoken language,English
1000905,Spoken language,Greek (modern)
1000905,Spoken language,Norwegian
1000905,Spoken language,Spanish
1000906,Language,English
1000907,Primary language,English
1000907,Spoken language,German
1000907,Spoken language,English
1000907,Spoken language,Italian
1000908,Primary language,English
1000908,Spoken language,English
1000908,Spoken language,Italian
1000908,Spoken language,German
1000908,Spoken language,Latin
1000909,Primary language,English
1000909,Spoken language,English
1000909,Spoken language,Spanish
1000910,Language,English
1000911,Primary language,English
1000911,Spoken language,English
1000911,Spoken language,Portuguese
1000912,Language,English
1000913,Language,English
1000914,Language,English
1000915,Language,English
1000916,Language,English
1000917,Language,English
1000918,Language,English
1000919,Language,English
1000920,Primary language,English
1000920,Spoken language,English
1000920,Spoken language,French
1000920,Spoken language,Hebrew (modern)
1000920,Spoken language,Italian
1000920,Spoken language,Yiddish
1000921,Language,English
1000922,Primary language,English
1000922,Spoken language,English
1000922,Spoken language,Japanese
1000923,Language,English
1000924,Language,German
1000925,Language,English
1000926,Language,English
1000927,Language,English
1000928,Primary language,English
1000928,Spoken language,German
1000928,Spoken language,English
1000928,Spoken language,Latin
1000929,Language,English
1000930,Language,English
1000931,Language,English
1000932,Primary language,English
1000932,Spoken language,English
1000932,Spoken language,Spanish
1000933,Primary language,French
1000933,Spoken language,French
1000933,Spoken language,German
1000934,Primary language,English
1000934,Spoken language,English
1000934,Spoken language,Greek (modern)
1000934,Spoken language,Italian
1000935,Language,English
1000936,Language,English
1000937,Language,English
1000938,Language,English
1000939,Language,English
1000940,Primary language,English
1000940,Spoken language,Hungarian
1000940,Spoken language,English
1000941,Primary language,English
1000941,Spoken language,English
1000941,Spoken language,Korean
1000942,Language,English
1000943,Language,English
1000944,Language,Japanese
1000945,Language,English
1000946,Language,English
1000947,Language,English
1000948,Language,English
1000949,Language,English
1000950,Primary language,English
1000950,Spoken language,English
1000950,Spoken language,Thai
1000951,Language,English
1000952,Language,English
1000953,Primary language,English
1000953,Spoken language,French
1000953,Spoken language,Italian
1000953,Spoken language,Dutch
1000953,Spoken language,Chinese
1000953,Spoken language,English
1000954,Primary language,English
1000954,Spoken language,English
1000954,Spoken language,Portuguese
1000954,Spoken language,Spanish
1000955,Primary language,English
1000955,Spoken language,English
1000955,Spoken language,Irish
1000956,Language,English
1000957,Language,Russian
1000958,Language,English
1000959,Language,English
1000960,Language,English
1000962,Primary language,English
1000962,Spoken language,English
1000962,Spoken language,Latin
1000963,Language,English
1000964,Primary language,English
1000964,Spoken language,English
1000964,Spoken language,Thai
1000965,Language,English
1000966,Primary language,French
1000966,Spoken language,English
1000966,Spoken language,French
1000967,Primary language,Chinese
1000967,Spoken language,Chinese
1000967,Spoken language,English
1000967,Spoken language,Japanese
1000968,Primary language,English
1000968,Spoken language,Korean
1000968,Spoken language,English
1000969,Language,English
1000970,Primary language,English
1000970,Spoken language,English
1000970,Spoken language,French
1000971,Language,English
1000972,Primary language,English
1000972,Spoken language,Cantonese
1000972,Spoken language,Chinese
1000972,Spoken language,English
1000973,Primary language,English
1000973,Spoken language,English
1000973,Spoken language,French
1000974,Primary language,French
1000974,Spoken language,French
1000974,Spoken language,English
1000975,Language,English
1000976,Language,English
1000977,Language,English
1000978,Language,English
1000979,Language,French
1000980,Language,English
1000981,Primary language,Japanese
1000981,Spoken language,English
1000981,Spoken language,Japanese
1000982,Language,English
1000983,Primary language,French
1000983,Spoken language,French
1000983,Spoken language,English
1000984,Primary language,English
1000984,Spoken language,English
1000984,Spoken language,Japanese
1000985,Language,English
1000986,Primary language,English
1000986,Spoken language,English
1000986,Spoken language,Spanish
1000987,Primary language,Cantonese
1000987,Spoken language,Cantonese
1000987,Spoken language,Spanish
1000988,Primary language,English
1000988,Spoken language,English
1000988,Spoken language,Spanish
1000989,Language,English
1000990,Language,English
1000991,Primary language,English
1000991,Spoken language,Chinese
1000991,Spoken language,English
1000991,Spoken language,Japanese
1000992,Language,English
1000993,Language,English
1000994,Primary language,English
1000994,Spoken language,English
1000994,Spoken language,Japanese
1000995,Language,English
1000996,Primary language,English
1000996,Spoken language,English
1000996,Spoken language,Spanish
1000997,Primary language,English
1000997,Spoken language,Spanish
1000997,Spoken language,English
1000998,Primary language,English
1000998,Spoken language,"Bengali, Bangla"
1000998,Spoken language,English
1000998,Spoken language,Hindi
1000999,Language,English
1001000,Primary language,English
1001000,Spoken language,Hebrew (modern)
1001000,Spoken language,English
